event_type,severity,sector,window,n,mean_car,p_value,significant_5pct
FL,orange_or_red,timber,car_t1,1,0.00653,,
FL,orange_or_red,timber,car_t3,1,0.01489,,
FL,orange_or_red,timber,car_t5,1,0.01242,,
FL,orange_or_red,tourism,car_t1,5,0.00673,0.6231,False
FL,orange_or_red,tourism,car_t3,5,0.01466,0.5325,False
FL,orange_or_red,tourism,car_t5,5,0.01763,0.4767,False
FL,orange_or_red,utilities,car_t1,14,-0.00016,0.9413,False
FL,orange_or_red,utilities,car_t3,14,-0.00013,0.9754,False
FL,orange_or_red,utilities,car_t5,14,0.00311,0.6335,False
TC,green,agriculture,car_t1,127,0.00135,0.0677,False
TC,green,agriculture,car_t3,127,-0.00011,0.9283,False
TC,green,agriculture,car_t5,127,0.0007,0.6528,False
TC,green,automotive,car_t1,1,0.00585,,
TC,green,automotive,car_t3,1,-0.00428,,
TC,green,automotive,car_t5,1,0.00371,,
TC,green,coal,car_t1,2,-0.00259,,
TC,green,coal,car_t3,2,-0.00899,,
TC,green,coal,car_t5,2,0.00605,,
TC,green,construction,car_t1,53,-0.00225,0.3456,False
TC,green,construction,car_t3,53,-0.00649,0.0835,False
TC,green,construction,car_t5,53,-0.00751,0.1171,False
TC,green,energy,car_t1,39,0.00325,0.1484,False
TC,green,energy,car_t3,39,0.0082,0.0299,True
TC,green,energy,car_t5,39,0.00737,0.1068,False
TC,green,gas,car_t1,1,0.03968,,
TC,green,gas,car_t3,1,0.05856,,
TC,green,gas,car_t5,1,0.05421,,
TC,green,infrastructure,car_t1,2,-0.00622,,
TC,green,infrastructure,car_t3,2,-0.00851,,
TC,green,infrastructure,car_t5,2,-0.00095,,
TC,green,insurance,car_t1,129,-0.00119,0.152,False
TC,green,insurance,car_t3,129,-0.00254,0.1015,False
TC,green,insurance,car_t5,129,-0.00279,0.1562,False
TC,green,mining,car_t1,21,0.00319,0.4498,False
TC,green,mining,car_t3,21,0.01095,0.0663,False
TC,green,mining,car_t5,21,0.01128,0.1182,False
TC,green,oil,car_t1,4,-0.00177,0.681,False
TC,green,oil,car_t3,4,-0.01342,0.0863,False
TC,green,oil,car_t5,4,-0.00985,0.5753,False
TC,green,textiles,car_t1,1,0.01241,,
TC,green,textiles,car_t3,1,0.01753,,
TC,green,textiles,car_t5,1,0.00455,,
TC,green,timber,car_t1,4,0.00179,0.7755,False
TC,green,timber,car_t3,4,-0.00098,0.9218,False
TC,green,timber,car_t5,4,-0.0046,0.7188,False
TC,green,tourism,car_t1,31,-0.00461,0.1406,False
TC,green,tourism,car_t3,31,-0.00996,0.0731,False
TC,green,tourism,car_t5,31,-0.01345,0.0718,False
TC,green,utilities,car_t1,58,0.00032,0.7704,False
TC,green,utilities,car_t3,58,-0.00134,0.5079,False
TC,green,utilities,car_t5,58,0.00019,0.9292,False
TC,orange_or_red,agriculture,car_t1,35,-0.00022,0.8476,False
TC,orange_or_red,agriculture,car_t3,35,-0.00425,0.0954,False
TC,orange_or_red,agriculture,car_t5,35,-0.00486,0.0753,False
TC,orange_or_red,construction,car_t1,17,0.00187,0.5286,False
TC,orange_or_red,construction,car_t3,17,0.00325,0.5163,False
TC,orange_or_red,construction,car_t5,17,-0.00206,0.7703,False
TC,orange_or_red,energy,car_t1,11,0.0021,0.7703,False
TC,orange_or_red,energy,car_t3,11,-0.00682,0.6675,False
TC,orange_or_red,energy,car_t5,11,-0.00472,0.7873,False
TC,orange_or_red,insurance,car_t1,35,0.0017,0.2092,False
TC,orange_or_red,insurance,car_t3,35,-0.00408,0.2728,False
TC,orange_or_red,insurance,car_t5,35,-0.00265,0.4792,False
TC,orange_or_red,mining,car_t1,7,-0.01011,0.2372,False
TC,orange_or_red,mining,car_t3,7,-0.00841,0.4518,False
TC,orange_or_red,mining,car_t5,7,-0.00046,0.9734,False
TC,orange_or_red,oil,car_t1,3,-0.00515,0.2028,False
TC,orange_or_red,oil,car_t3,3,-0.01874,0.0666,False
TC,orange_or_red,oil,car_t5,3,-0.01004,0.4023,False
TC,orange_or_red,shipping,car_t1,1,0.01243,,
TC,orange_or_red,shipping,car_t3,1,-0.00395,,
TC,orange_or_red,shipping,car_t5,1,-0.0008,,
TC,orange_or_red,tourism,car_t1,16,-0.00602,0.212,False
TC,orange_or_red,tourism,car_t3,16,-0.01458,0.0088,True
TC,orange_or_red,tourism,car_t5,16,-0.01258,0.0309,True
TC,orange_or_red,utilities,car_t1,21,0.00187,0.3187,False
TC,orange_or_red,utilities,car_t3,21,-0.00266,0.4931,False
TC,orange_or_red,utilities,car_t5,21,-0.00701,0.1403,False
WF,green,agriculture,car_t1,134,-0.00057,0.462,False
WF,green,agriculture,car_t3,134,-0.00097,0.5198,False
WF,green,agriculture,car_t5,134,0.00031,0.8714,False
WF,green,construction,car_t1,83,-0.00253,0.1532,False
WF,green,construction,car_t3,83,0.00216,0.4309,False
WF,green,construction,car_t5,83,0.00364,0.3405,False
WF,green,copper_mining,car_t1,1,-0.00574,,
WF,green,copper_mining,car_t3,1,-0.01645,,
WF,green,copper_mining,car_t5,1,-0.00957,,
WF,green,energy,car_t1,73,-0.00071,0.6687,False
WF,green,energy,car_t3,73,0.00222,0.4924,False
WF,green,energy,car_t5,73,0.0018,0.6706,False
WF,green,financial,car_t1,1,-0.00395,,
WF,green,financial,car_t3,1,0.00258,,
WF,green,financial,car_t5,1,0.01304,,
WF,green,forestry,car_t1,2,-0.00496,,
WF,green,forestry,car_t3,2,0.0042,,
WF,green,forestry,car_t5,2,0.01175,,
WF,green,insurance,car_t1,170,-0.00117,0.1062,False
WF,green,insurance,car_t3,170,-0.00187,0.1884,False
WF,green,insurance,car_t5,170,-0.00063,0.7209,False
WF,green,mining,car_t1,15,-0.00235,0.4853,False
WF,green,mining,car_t3,15,-0.00239,0.7426,False
WF,green,mining,car_t5,15,-0.00349,0.6695,False
WF,green,oil,car_t1,40,7e-05,0.9511,False
WF,green,oil,car_t3,40,-0.00139,0.5888,False
WF,green,oil,car_t5,40,0.00089,0.7641,False
WF,green,timber,car_t1,157,-0.00089,0.1701,False
WF,green,timber,car_t3,157,-0.00109,0.3086,False
WF,green,timber,car_t5,157,-0.00112,0.4455,False
WF,green,tourism,car_t1,19,-0.00466,0.0771,False
WF,green,tourism,car_t3,19,-0.01168,0.0598,False
WF,green,tourism,car_t5,19,-0.00754,0.278,False
WF,green,utilities,car_t1,164,0.00045,0.5288,False
WF,green,utilities,car_t3,164,0.00177,0.1522,False
WF,green,utilities,car_t5,164,0.00413,0.0072,True
WF,orange_or_red,agriculture,car_t1,90,0.00066,0.5249,False
WF,orange_or_red,agriculture,car_t3,90,0.00208,0.1923,False
WF,orange_or_red,agriculture,car_t5,90,0.00421,0.0511,False
WF,orange_or_red,construction,car_t1,64,0.00043,0.7658,False
WF,orange_or_red,construction,car_t3,64,0.00412,0.2312,False
WF,orange_or_red,construction,car_t5,64,0.00786,0.0742,False
WF,orange_or_red,copper_mining,car_t1,1,0.0006,,
WF,orange_or_red,copper_mining,car_t3,1,0.01146,,
WF,orange_or_red,copper_mining,car_t5,1,-8e-05,,
WF,orange_or_red,energy,car_t1,57,0.00263,0.0877,False
WF,orange_or_red,energy,car_t3,57,0.00932,0.0005,True
WF,orange_or_red,energy,car_t5,57,0.01123,0.0011,True
WF,orange_or_red,forestry,car_t1,5,0.00896,0.3085,False
WF,orange_or_red,forestry,car_t3,5,0.02456,0.0655,False
WF,orange_or_red,forestry,car_t5,5,0.03023,0.0498,True
WF,orange_or_red,insurance,car_t1,107,0.00105,0.2589,False
WF,orange_or_red,insurance,car_t3,107,0.00393,0.015,True
WF,orange_or_red,insurance,car_t5,107,0.00476,0.0184,True
WF,orange_or_red,mining,car_t1,13,0.01028,0.0705,False
WF,orange_or_red,mining,car_t3,13,0.0127,0.1587,False
WF,orange_or_red,mining,car_t5,13,0.00311,0.7025,False
WF,orange_or_red,oil,car_t1,23,0.00139,0.3886,False
WF,orange_or_red,oil,car_t3,23,0.0058,0.0504,False
WF,orange_or_red,oil,car_t5,23,0.00219,0.5393,False
WF,orange_or_red,timber,car_t1,101,-0.00033,0.6691,False
WF,orange_or_red,timber,car_t3,101,0.00103,0.4775,False
WF,orange_or_red,timber,car_t5,101,0.00079,0.6977,False
WF,orange_or_red,tourism,car_t1,14,-0.00477,0.3175,False
WF,orange_or_red,tourism,car_t3,14,0.00801,0.2738,False
WF,orange_or_red,tourism,car_t5,14,-0.00257,0.7869,False
WF,orange_or_red,utilities,car_t1,107,-0.00088,0.3015,False
WF,orange_or_red,utilities,car_t3,107,0.00227,0.1325,False
WF,orange_or_red,utilities,car_t5,107,0.00528,0.0094,True
