event_id,ticker,event_date,car_t1,car_t3,car_t5,beta,alpha,n_est,error,source
RAND_2025-04-18_XHB,XHB,2025-04-18,0.02098531747340549,0.0228136858383202,0.013255903351216129,0.795254,-0.001356,37,,random
RAND_2025-06-12_XHB,XHB,2025-06-12,-0.004645636738508846,-0.00679938321890507,0.02476767622521511,1.61398,-0.003579,35,,random
RAND_2025-04-17_IAK,IAK,2025-04-17,-0.01784623747603592,-0.014544913443853731,-0.04345606730068646,0.755982,0.002432,36,,random
RAND_2025-02-14_IAK,IAK,2025-02-14,0.0037317675764329972,0.0058617724605949505,0.025334660343897968,0.549494,7e-05,34,,random
RAND_2024-11-17_MOO,MOO,2024-11-17,-0.001491390743568163,0.01660509609498844,0.031181301012661224,0.684182,-0.001686,37,,random
RAND_2025-04-15_XHB,XHB,2025-04-15,-0.011043493109565889,-0.0022509715359192474,0.015449775957057484,0.632245,-0.00182,35,,random
RAND_2025-04-16_JETS,JETS,2025-04-16,0.00031039971052379805,-0.002494692712370351,0.0012180544970285612,1.409793,-0.00415,35,,random
RAND_2025-02-08_MOO,MOO,2025-02-08,0.00393155028692078,-0.010614559818394737,0.0017924878267541562,0.651325,0.00025,34,,random
RAND_2025-02-13_JETS,JETS,2025-02-13,0.012562412896280637,0.011412048558559743,-0.03021550022626741,0.522724,0.000783,33,,random
RAND_2025-02-04_XHB,XHB,2025-02-04,0.006555605456273846,-0.011630490321037378,-0.003379170471749484,1.115964,-0.001324,32,,random
RAND_2024-11-13_IAK,IAK,2024-11-13,0.0021992877458999315,0.017593064335020867,0.009397759936022237,0.713495,-0.000987,36,,random
RAND_2025-02-04_IAK,IAK,2025-02-04,0.002509052955255735,0.007842037578242854,-0.0001100215168281923,0.607951,-0.000493,32,,random
RAND_2025-01-31_IAK,IAK,2025-01-31,0.007679634460053151,0.005109806357938983,0.014790607500411338,0.76786,-0.002299,34,,random
RAND_2024-12-14_JETS,JETS,2024-12-14,-0.0037887216403037034,0.011824096038301663,0.01759723034984325,1.090359,0.003985,37,,random
RAND_2024-12-16_XLU,XLU,2024-12-16,-0.0040106857279256026,-0.02541654403632246,-0.003609807879850097,-0.105245,-0.000556,35,,random
RAND_2025-02-02_IAK,IAK,2025-02-02,-0.006753898814251319,-0.0006082691663929496,-0.00912783530848539,0.782792,-0.001789,33,,random
RAND_2025-06-14_JETS,JETS,2025-06-14,-0.01655343439025997,-0.01641647516830778,-0.0022012651840254017,1.504745,0.000944,36,,random
RAND_2025-02-12_IAK,IAK,2025-02-12,0.007088167356058956,0.0012817951649829748,0.003666946379843348,0.542819,-6.6e-05,32,,random
RAND_2024-12-15_IAK,IAK,2024-12-15,-0.00837291245992666,-0.010384006618919786,-0.005606153062530493,0.70714,-7.2e-05,36,,random
RAND_2024-12-17_MOO,MOO,2024-12-17,-0.01968579485665444,-0.01885933242018347,-0.01947386336786123,0.34435,-0.000877,35,,random
RAND_2024-11-20_IAK,IAK,2024-11-20,0.015024277444273686,0.022142579027610885,0.03143457577243992,0.899866,7.6e-05,36,,random
RAND_2024-12-12_IAK,IAK,2024-12-12,0.010441667406010812,-0.00487868055600335,-0.009181767225837103,0.670621,0.000525,36,,random
RAND_2024-11-16_WOOD,WOOD,2024-11-16,-0.004191932043664427,0.003402395154714059,0.030182272227600147,0.828455,-0.001886,38,,random
RAND_2024-12-21_MOO,MOO,2024-12-21,-1.085968117248929e-05,0.004454816210338275,0.0044897858108999865,0.354508,-0.0008,37,,random
RAND_2025-06-15_XHB,XHB,2025-06-15,-0.002861154161330891,0.02930829829539483,0.039978355774258185,1.611717,-0.003885,35,,random
RAND_2024-11-18_JETS,JETS,2024-11-18,-0.011769570110227766,-0.024785416106438758,-0.01633937315126052,1.463031,0.004804,36,,random
RAND_2025-02-13_WOOD,WOOD,2025-02-13,0.0011289564159100531,-0.005020994146829808,-0.00015846901593647746,0.818654,5e-06,33,,random
RAND_2025-06-14_XHB,XHB,2025-06-14,-0.0036281811484228585,0.02772080688756314,0.03872127137823408,1.567748,-0.003565,36,,random
RAND_2025-02-15_MOO,MOO,2025-02-15,0.0006322859211509568,0.007322070048457464,0.024342806450196652,0.650798,8e-06,34,,random
RAND_2025-06-12_MOO,MOO,2025-06-12,0.010108744668134929,0.017591602521214285,0.004163574088826148,0.627645,0.000938,35,,random
RAND_2025-02-14_MOO,MOO,2025-02-14,0.008012237031753761,0.009835597053479637,0.022917875668428594,0.659064,-0.000134,34,,random
RAND_2024-11-14_IAK,IAK,2024-11-14,0.014676824640824686,0.003298566368782306,0.01993582775512582,0.938762,-0.000275,37,,random
RAND_2025-04-16_MOO,MOO,2025-04-16,0.007498220591239925,0.015447907770371846,0.011220563659487261,0.720872,0.000107,35,,random
RAND_2025-02-02_MOO,MOO,2025-02-02,0.0029491039623983735,-0.026710646670084146,-0.021432913350384948,0.729739,-0.000188,33,,random
RAND_2025-06-14_JETS,JETS,2025-06-14,-0.01655343439025997,-0.01641647516830778,-0.0022012651840254017,1.504745,0.000944,36,,random
RAND_2025-04-13_MOO,MOO,2025-04-13,-0.0066347022958535085,0.007656533425292495,0.014478174191711565,0.703787,0.000722,36,,random
RAND_2024-11-20_IAK,IAK,2024-11-20,0.015024277444273686,0.022142579027610885,0.03143457577243992,0.899866,7.6e-05,36,,random
RAND_2025-04-12_XHB,XHB,2025-04-12,-0.006967750866224882,6.42433156820485e-06,0.013271336786833475,0.6244,-0.001184,37,,random
RAND_2025-02-05_IAK,IAK,2025-02-05,0.0023261204968962656,-0.009422337912049236,-0.011705493139054095,0.564472,-0.000174,32,,random
RAND_2024-12-12_JETS,JETS,2024-12-12,-0.012740047097616489,-0.027780274450704814,-0.01495918122726178,1.001435,0.004043,36,,random
RAND_2024-12-13_XLU,XLU,2024-12-13,-0.008056559360158951,-0.038837943953762735,-0.0182946863087785,-0.069785,0.000182,37,,random
RAND_2024-12-14_JETS,JETS,2024-12-14,-0.0037887216403037034,0.011824096038301663,0.01759723034984325,1.090359,0.003985,37,,random
RAND_2025-04-18_IAK,IAK,2025-04-18,0.014932623584287149,-0.006775849435967785,-0.019760652299068614,0.746177,0.002559,37,,random
RAND_2025-06-14_MOO,MOO,2025-06-14,-0.0021751000321297486,-0.01596407458607688,-0.034391183641591536,0.613476,0.00109,36,,random
RAND_2025-04-13_XHB,XHB,2025-04-13,-0.007350841313047659,-0.001081776493814298,0.011395066995180182,0.629057,-0.000804,36,,random
RAND_2024-12-13_XLU,XLU,2024-12-13,-0.008056559360158951,-0.038837943953762735,-0.0182946863087785,-0.069785,0.000182,37,,random
RAND_2025-04-20_JETS,JETS,2025-04-20,-0.011841871513736519,-0.019175237543582475,-0.018843081581384473,1.709762,-0.003162,36,,random
RAND_2025-02-09_IAK,IAK,2025-02-09,0.005298638502895505,0.0034961941717741984,-0.0029530245759392683,0.565716,0.00021,33,,random
RAND_2024-11-14_XLU,XLU,2024-11-14,0.01375456473593906,0.030400874072288992,0.0491791798599915,-0.14632,-0.000244,37,,random
RAND_2025-02-07_MOO,MOO,2025-02-07,0.0038197572787804796,-0.0021418989128046805,-0.0027149758112569884,0.633398,0.000465,34,,random
RAND_2025-02-04_MOO,MOO,2025-02-04,-0.015453325326791082,-0.030987969249819117,-0.02416216076148822,0.641309,0.000789,32,,random
RAND_2025-04-17_IAK,IAK,2025-04-17,-0.01784623747603592,-0.014544913443853731,-0.04345606730068646,0.755982,0.002432,36,,random
RAND_2025-04-20_IAK,IAK,2025-04-20,0.015050028081527052,-0.0064306900510325195,-0.019199375313749337,0.745663,0.002453,36,,random
RAND_2024-12-18_XHB,XHB,2024-12-18,-0.020773520069701106,-0.01857471495772862,-0.01985282681734948,0.928181,-0.00142,35,,random
RAND_2025-02-09_IAK,IAK,2025-02-09,0.005298638502895505,0.0034961941717741984,-0.0029530245759392683,0.565716,0.00021,33,,random
